Player,Age,Team,minutes,Estimated Value
Jens Cajuste,25,Ipswich Town,1694.0,€15.4M
Boubakary Soumaré,26,Leicester City,1818.0,€15.3M
Daichi Kamada,28,Crystal Palace,1198.0,€15.1M
Lucas Digne,31,Aston Villa,2151.0,€14.8M
Thomas Partey,31,Arsenal FC,2347.0,€14.7M
Sammie Szmodics,29,Ipswich Town,979.0,€14.1M
Mark Flekken,31,Brentford FC,2735.0,€13.9M
Harry Maguire,32,Manchester United,1418.0,€13.8M
Guido Rodríguez,31,West Ham United,1018.0,€13.6M
Kenny Tete,29,Fulham FC,1271.0,€13.4M
Stephy Mavididi,26,Leicester City,1531.0,€13.2M
Jan Bednarek,29,Southampton,2171.0,€13M
Jefferson Lerma,30,Crystal Palace,1811.0,€12.8M
Emerson Palmieri,30,West Ham United,1851.0,€12.7M
Paul Onuachu,30,Southampton,916.0,€12.7M
Ben Johnson,25,Ipswich Town,1222.0,€12.6M
Saša Lukić,28,Fulham FC,1879.0,€12.1M
Casemiro,33,Manchester United,1271.0,€11.6M
Nick Pope,32,Newcastle United,1890.0,€11.5M
Harry Winks,29,Leicester City,1538.0,€11.5M
Kepa Arrizabalaga,30,Bournemouth,2160.0,€11.4M
Santiago Bueno,26,Wolves,1581.0,€11.3M
Álex Moreno,31,Nottingham Forest,955.0,€11.2M
İlkay Gündoğan,34,Manchester City,1787.0,€11M
Christian Nørgaard,31,Brentford FC,2279.0,€10.8M
Matz Sels,33,Nottingham Forest,2880.0,€10.2M
Jack Hinshelwood,20,Brighton & Hove Albion,1505.0,€9.2M
José Sá,32,Wolves,2250.0,€8.6M
Flynn Downes,26,Southampton,1611.0,€8.5M
Dan Burn,32,Newcastle United,2700.0,€8.4M
Rodrigo Muniz,23,Fulham FC,908.0,€8.4M
Nélson Semedo,31,Wolves,2415.0,€8.3M
Adama Traoré,29,Fulham FC,1482.0,€8.2M
Joe Aribo,28,Southampton,1909.0,€8M
Chris Wood,33,Nottingham Forest,2434.0,€7.9M
Ethan Pinnock,31,Brentford FC,1913.0,€7.6M
Fabian Schär,33,Newcastle United,2322.0,€7.5M
Will Hughes,29,Crystal Palace,1695.0,€7.3M
Lewis Dunk,33,Brighton & Hove Albion,1813.0,€7.1M
Danny Welbeck,34,Brighton & Hove Albion,1686.0,€5.9M
Joël Veltman,33,Brighton & Hove Albion,1643.0,€5.9M
Abdoulaye Doucouré,32,Everton FC,2245.0,€5.8M
Stefan Ortega,32,Manchester City,920.0,€5.8M
Tyrone Mings,32,Aston Villa,961.0,€5.7M
Raúl Jiménez,33,Fulham FC,1927.0,€5.2M
Ben Davies,31,Tottenham,901.0,€5.1M
Kieran Trippier,34,Newcastle United,949.0,€4.5M
Jordan Ayew,33,Leicester City,1310.0,€4.5M
Axel Tuanzebe,27,Ipswich Town,1355.0,€4.3M
Matt Doherty,33,Wolves,1809.0,€4M
Christian Eriksen,33,Manchester United,903.0,€3.9M
Ryan Manning,28,Southampton,1195.0,€3.8M
Conor Coady,32,Leicester City,1174.0,€2.3M
Wes Burns,30,Ipswich Town,926.0,€2.1M
Jannik Vestergaard,32,Leicester City,1391.0,€2M
Luke Woolfenden,26,Ipswich Town,1007.0,€2M
Cameron Burgess,29,Ipswich Town,1215.0,€1.7M
Adam Smith,33,Bournemouth,1146.0,€1.5M
Craig Dawson,34,Wolves,971.0,€1.5M
Jack Stephens,31,Southampton,984.0,€1.4M
Ashley Young,39,Everton FC,1586.0,€1.3M
Sam Morsy,33,Ipswich Town,2240.0,€1.3M
Jamie Vardy,38,Leicester City,2421.0,€1.2M
Łukasz Fabiański,39,West Ham United,1070.0,€0.9M
